"city","country","pop2023","latitude","longitude","fill"
"Okotoks","Canada",14826,50.7289,-113.983
"Gaspe","Canada",14819,48.8334,-64.4819
"Sylvan Lake","Canada",14816,52.311,-114.084
"Matane","Canada",14812,48.8286,-67.522
"Yorkdale-Glen Park","Canada",14804,43.7147,-79.4571
"Prince Rupert","Canada",14708,54.3151,-130.321
"Lawrence Park North","Canada",14607,43.7301,-79.404
"Rayside-Balfour","Canada",14557,46.6087,-81.2076
"Brooks","Canada",14451,50.5834,-111.885
"Greenwood-Coxwell","Canada",14417,43.6804,-79.3266
"Junction Area","Canada",14366,43.6679,-79.4714
"Humewood-Cedarvale","Canada",14365,43.6914,-79.4277
"Wychwood","Canada",14349,43.6776,-79.4218
"Briar Hill-Belgravia","Canada",14257,43.699,-79.4529
"Rosemere","Canada",14173,45.6334,-73.7992
"Williams Lake","Canada",14168,52.1415,-122.145
"Corso Italia-Davenport","Canada",14133,43.6777,-79.4475
"Canmore","Canada",13992,51.0834,-115.352
"Simcoe","Canada",13922,42.8334,-80.2997
"Amherstburg","Canada",13910,42.1001,-83.0999
"Pembroke","Canada",13882,45.8168,-77.1162
"Oakridge","Canada",13845,43.6969,-79.2803
"Palmerston-Little Italy","Canada",13826,43.6592,-79.4184
"Thompson","Canada",13678,55.7435,-97.8558
"Ionview","Canada",13641,43.7369,-79.2733
"New Hamburg","Canada",13595,43.3834,-80.6997
"Mount Dennis","Canada",13593,43.6869,-79.4892
"Strathmore","Canada",13592,51.0501,-113.385
"Sainte-Marie","Canada",13565,46.434,-71.0117
"Mont-Laurier","Canada",13405,46.5501,-75.4993
"Centennial Scarborough","Canada",13362,43.7824,-79.1508
"Portage la Prairie","Canada",13304,49.9728,-98.2926
"Powell River","Canada",13157,49.8328,-124.524
"Bayview Woods-Steeles","Canada",13154,43.7968,-79.3821
"North Perth","Canada",13130,43.7251,-80.9672
"Lacombe","Canada",13057,52.4668,-113.735
"Dolbeau-Mistassini","Canada",12916,48.8786,-72.2314
"Salmon Arm","Canada",12875,50.6998,-119.302
"Forest Hill North","Canada",12806,43.7042,-79.4281
"Ingersoll","Canada",12757,43.0334,-80.883
"Laurentides","Canada",12710,47.1334,-72.2824
"Winkler","Canada",12660,49.1817,-97.941
"Kentville","Canada",12636,45.0771,-64.496
"Port Hope","Canada",12587,44.0168,-78.3995
"Woodbine Corridor","Canada",12541,43.6784,-79.3157
"Yonge-St.Clair","Canada",12528,43.6879,-79.3979
"Elliot Lake","Canada",12508,46.3834,-82.6331
"Highland Creek","Canada",12494,43.7907,-79.1756
"Humber Summit","Canada",12416,43.7579,-79.575
"Aldergrove","Canada",12363,49.058,-122.471
"Gravenhurst","Canada",12312,44.9168,-79.3663
"Paris","Canada",12310,43.2,-80.3833
"Truro","Canada",12261,45.3669,-63.2654
"Grand Falls-Windsor","Canada",12076,48.9332,-55.6649
"Alderwood","Canada",12054,43.6035,-79.546
"Parksville","Canada",12000,49.3195,-124.316
"Queenswood Heights","Canada",12000,45.4708,-75.5056
"Beauharnois","Canada",11918,45.3134,-73.8725
"North Riverdale","Canada",11916,43.672,-79.3513
"Carleton Place","Canada",11901,45.1334,-76.1494
"Bathurst","Canada",11897,47.6181,-65.6511
"Etobicoke West Mall","Canada",11848,43.6464,-79.5698
"Yonge-Eglinton","Canada",11817,43.7047,-79.4036
"Dufferin Grove","Canada",11785,43.6577,-79.4279
"Montmagny","Canada",11724,46.9804,-70.5549
"Gander","Canada",11688,48.9562,-54.6165
